Name,Serving Size (g),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Flour Tortilla (Burrito),113.398092,282.1916968408957,7.936641473650191,0.4409245263138995,0,0,529.1094315766794,44.09245263138995,2.645547157883397,0,7.054792421022392
Barbacoa,113.398092,149.91433894672582,6.172943368394593,2.2046226315694977,0,57.320188420806936,467.37999789273346,1.763698105255598,0.881849052627799,0,21.164377263067177
Carnitas,113.398092,185.18830105183778,10.582188631533588,6.172943368394593,0,57.320188420806936,396.83207368250953,0,0,0,20.282528210439377
Chicken,113.398092,158.73282947300382,6.172943368394593,2.645547157883397,0,110.23113157847487,273.3732063146177,0,0,0,28.219169684089568
Sofritas,113.398092,132.27735789416985,8.81849052627799,1.3227735789416986,0,0,493.8354694715674,7.936641473650191,2.645547157883397,4.409245263138995,7.054792421022392
Steak,113.398092,132.27735789416985,5.291094315766794,2.2046226315694977,0,70.54792421022393,291.01018736717367,0.881849052627799,0.881849052627799,0,18.518830105183778
Veggie,113.398092,202.82528210439378,19.400679157811577,3.0864716841972966,0,0,326.2841494722856,7.054792421022392,5.291094315766794,0.881849052627799,1.763698105255598
Cilantro-Lime Brown Rice,113.398092,185.18830105183778,5.291094315766794,0.881849052627799,0,0,167.55131999928182,31.746565894600764,1.763698105255598,0,3.527396210511196
Cilantro-Lime White Rice,113.398092,185.18830105183778,3.527396210511196,0.4409245263138995,0,0,308.64716841972967,35.27396210511196,0.881849052627799,0,3.527396210511196
Black Beans,113.398092,114.64037684161387,1.3227735789416986,0,0,0,185.18830105183778,19.400679157811577,6.172943368394593,1.763698105255598,7.054792421022392
Pinto Beans,113.398092,114.64037684161387,1.3227735789416986,0,0,0,185.18830105183778,18.518830105183778,7.054792421022392,0.881849052627799,7.054792421022392
Fajita Vegetables,70.8738075,28.219169684089568,0,0,0,0,211.64377263067178,7.054792421022392,1.4109584842044784,2.821916968408957,1.4109584842044784
Fresh Tomato Salsa,99.2233305,25.195687217937113,0,0,0,0,554.3051187946165,4.031309954869938,1.0078274887174845,1.0078274887174845,0
Guacamole,113.398092,202.82528210439378,19.400679157811577,3.0864716841972966,0,0,326.2841494722856,7.054792421022392,5.291094315766794,0.881849052627799,1.763698105255598
Monterey Jack Cheese,28.349523,388.01358315623156,28.219169684089568,17.63698105255598,0,105.82188631533587,670.2052799971273,3.527396210511196,0,0,21.164377263067177
Queso,56.699046,211.64377263067175,14.109584842044784,8.81849052627799,0,44.09245263138995,352.7396210511196,7.054792421022392,0.881849052627799,1.763698105255598,10.582188631533588
Roasted Chili-Corn Salsa,99.2233305,80.62619909739877,1.5117412330762268,0,0,0,332.5830712767699,16.125239819479752,3.0234824661524535,4.031309954869938,3.0234824661524535
Sour Cream,56.699046,194.00679157811578,15.873282947300382,12.345886736789186,0,70.54792421022393,52.91094315766794,3.527396210511196,0,3.527396210511196,3.527396210511196
Tomatillo Green-Chili Salsa,56.699046,26.45547157883397,0,0,0,0,458.5615073664555,7.054792421022392,0,3.527396210511196,0
Tomatillo Red-Chili Salsa,56.699046,52.91094315766794,0,0,0,0,881.849052627799,7.054792421022392,1.763698105255598,0,0
Romaine Lettuce,28.349523,17.63698105255598,0,0,0,0,0,3.527396210511196,3.527396210511196,0,0
Tortilla Chips,113.398092,476.1984884190115,22.046226315694977,3.0864716841972966,0,0,343.9211305248416,64.37498084182933,6.172943368394593,0.881849052627799,6.172943368394593
Large Chips,170.097138,476.19848841901154,22.340175999904243,2.9394968420926637,0,0,346.8606273669343,64.66893052603861,6.46689305260386,1.1757987368370655,6.46689305260386
Chips & Guacamole,226.796184,339.5118852617026,20.723452736753277,3.0864716841972966,0,0,335.10263999856363,35.71488663142586,5.732018842080693,0.881849052627799,3.9683207368250955
Large Chips & Large Guacamole,396.893322,319.9852276678013,20.660463518708433,3.0234824661524535,0,0,335.1026399985636,31.746565894600764,5.795008060125536,1.0078274887174845,3.779353082690567
Chips & Queso,226.796184,339.5118852617026,18.07790557886988,6.613867894708492,0,22.046226315694977,348.3303757879806,36.15581115773976,3.527396210511196,1.3227735789416986,8.81849052627799
Large Chips & Large Queso,396.893322,319.9852276678013,17.88893792473535,6.5508786766636495,0.12597843608968556,26.203514706654598,350.2200523293259,31.998522766780134,3.5273962105111956,1.7636981052555978,9.070447398457361
Chips & Fresh Tomato Salsa,212.62142250000002,268.08211199885085,11.757987368370653,1.6461182315718914,0,0,442.1003250507365,34.80364261037713,3.7625559578786087,0.9406389894696522,3.292236463143783
Chips & Roasted Chili-Corn Salsa,212.62142250000002,291.5980867355922,12.698626357840304,1.6461182315718914,0,0,338.6300362090748,41.85843503139952,4.703194947348261,2.3515974736741305,4.703194947348261
Chips & Tomatillo-Green Chili Salsa,170.097138,329.22364631437836,14.697484210463319,2.0576477894648644,0,0,382.1345894720463,45.26825136822702,4.115295578929729,1.7636981052555982,4.115295578929729
Chips & Tomatillo-Red Chili Salsa,170.097138,335.1026399985637,14.697484210463319,2.0576477894648644,0,0,523.2304378924941,45.26825136822702,4.703194947348262,0.5878993684185327,4.115295578929729
Large Guacamole,226.796184,202.82528210439378,19.400679157811577,3.0864716841972966,0,0,326.2841494722856,7.054792421022392,5.291094315766794,0.881849052627799,1.763698105255598
Large Queso,226.796184,202.82528210439378,14.550509368358684,9.259415052591889,0.22046226315694975,45.856150736645546,352.7396210511196,7.495716947336292,1.3227735789416986,2.2046226315694977,11.023113157847488
Peach Orange Juice,453.592368,57.320188420806936,0,0,0,0,13.227735789416984,14.109584842044784,0,14.109584842044784,0.4409245263138995
100 Apple Juice,453.592368,52.91094315766794,0,0,0,0,2.2046226315694977,13.227735789416984,0,11.464037684161386,0
Pineapple Orange Banana Juice,453.592368,61.72943368394593,0,0,0,0,13.227735789416984,14.991433894672584,0,14.550509368358684,0.4409245263138995
Pomegranate Cherry Juice,453.592368,52.91094315766794,0,0,0,0,13.227735789416984,12.786811263103086,0,11.904962210475286,0
Blackberry,453.592368,37.478584736681455,0,0,0,0,7.716179210493241,9.03895278943494,0,8.59802826312104,0
Clementine,453.592368,35.27396210511196,0,0,0,0,6.613867894708492,8.81849052627799,0,7.936641473650191,0
Grapefruit,453.592368,35.27396210511196,0,0,0,0,5.511556578923744,9.03895278943494,0,8.59802826312104,0
Crispy Corn Tortilla,42.5242845,470.3194947348262,21.16437726306718,2.351597473674131,0,0,0,68.19632673654979,7.054792421022393,0,7.054792421022393
Flour Tortilla (Taco),85.048569,293.94968420926637,9.406389894696524,0.5878993684185327,0,0,564.3833936817914,47.03194947348262,2.351597473674131,0,8.230591157859457
Chipotle Honey Vinaigrette,56.699046,388.01358315623156,28.219169684089568,4.409245263138995,0,0,1499.1433894672582,31.746565894600764,1.763698105255598,21.164377263067177,1.763698105255598
Organic Milk,191.35928025,47.03194947348261,1.045154432744058,0.7838658245580435,0,5.22577216372029,54.870607719063045,5.22577216372029,0,5.22577216372029,3.6580405146042034
Organic Chocolate Milk,191.35928025,67.93503812836377,1.045154432744058,0.7838658245580435,0,5.22577216372029,99.28967111068552,10.45154432744058,0.522577216372029,9.928967111068552,3.6580405146042034
Organic Apple Juice,191.35928025,52.257721637202906,0,0,0,0,5.22577216372029,13.064430409300726,0,11.496698760184639,0
